State,Polls Close (PST),Incumbent,Primary,Democratic Candidate,Republican Candidate,Tyler's Predictions,David's Predictions
Alabama,5:00 PM,Ivey,,Maddox,Ivey,r,r
Alaska,10:00 PM,Walker,August 21,,,r,r
Arizona,6:00 PM,Ducey,August 28,,,r,d
Arkansas,5:30 PM,Hutchinson,,Henderson,Hutchison,r,r
California,8:00 PM,Brown (Open),,Newsom,Cox,d,d
Colorado,6:00 PM,Hickenlooper (Open),,Polis,Stapleton,d,d
Connecticut,5:00 PM,Malloy (Open),August 14,,,d,d
Florida,4:00 PM (5:00 PM),Scott (Open),August 28,,,d,r
Georgia,4:00 PM,Deal (Open),July 24,Abrams,Runoff,r,d
Hawaii,8:00 PM,Ige,August 11,,,d,d
Idaho,7:00 PM (8:00 PM),Otter (Open),,Jordan,Little,r,r
Illinois,5:00 PM,Rauner,,Pritzker,Rauner,d,d
Iowa,7:00 PM,Reynolds,,Hubbell,Reynolds,r,d
Kansas,5:00 PM (6:00 PM),Brownback (Open),August 7,,,r,r
Maine,5:00 PM,LePage (Open),,Mills,Moody,d,d
Maryland,5:00 PM,Hogan,,Jealous,Hogan,r,d
Massachusetts,5:00 PM,Baker,September 4,,,r,d
Michigan,5:00 PM (6:00 PM),Snyder (Open),August 7,,,d,d
Minnesota,6:00 PM,Dayton (Open),August 14,,,d,d
Nebraska,6:00 PM,Ricketts,,Krist,Ricketts,r,r
Nevada,7:00 PM,Sandoval (Open),,Sisolak,Laxalt,d,d
New Hampshire,5:00 PM,Sununu,September 11,,,r,d
New Mexico,6:00 PM,Martinez (Open),,Lujan Grisham,Pearce,d,d
New York,6:00 PM,Cuomo,September 13,,,d,d
Ohio,4:30 PM,Kasich (Open),,Cordray,DeWine,r,d
Oklahoma,5:00 PM,Fallin (Open),August 28,Edmondson,Runoff,r,d
Oregon,8:00 PM,Brown,,Brown,Buehler,d,d
Pennsylvania,5:00 PM,Wolf,,Wolf,Wagner,d,d
Rhode Island,5:00 PM,Raimondo,September 12,,,d,d
South Carolina,4:00 PM,McMaster,,Smith,McMaster,r,r
South Dakota,5:00 PM (6:00 PM),Daugaard (Open),,Sutton,Noem,r,r
Tennessee,5:00 PM,Haslam (Open),August 2,,,r,r
Texas,5:00 PM (6:00 PM),Abbott,,Valdez,Abbott,r,r
Vermont,4:00 PM,Scott,August 14,,,r,r
Wisconsin,,Walker,August 14,,,r,d
Wyoming,,Mead (Open),August 21,,,r,r
