Seat,Polls Close (PST),Incumbent,Primary,2017 PVI,Democratic Candidate,Republican Candidate,Tyler's Prediction,David's Prediction,Result
Alabama 1,5:00 PM,Byrne,,R+15,Kennedy,Byrne,r,r,
Alabama 2,5:00 PM,Roby,,R+16,Isner,Roby,r,r,
Alabama 3,5:00 PM,Rogers,,R+16,Hagan,Rogers,r,r,
Alabama 4,5:00 PM,Aderholt,,R+30,Auman,Aderholt,r,r,
Alabama 5,5:00 PM,Brooks,,R+18,Joffrion,Brooks,r,r,
Alabama 6,5:00 PM,Palmer,,R+26,Kline,Palmer,r,r,
Alabama 7,5:00 PM,Sewell,,D+20,Sewell,N/A,d,d,
Alaska at Large,10:00 PM,Young,August 21,R+9,,,r,r,
Arizona 1,6:00 PM,O'Halleran,August 28,R+2,,,d,d,
Arizona 2,6:00 PM,McSally (Open),August 28,R+1,,,d,d,
Arizona 3,6:00 PM,Grijalva,August 28,D+13,,,d,d,
Arizona 4,6:00 PM,Gosar,August 28,R+21,,,r,r,
Arizona 5,6:00 PM,Biggs,August 28,R+15,,,r,r,
Arizona 6,6:00 PM,Schweikert,August 28,R+9,,,r,r,
Arizona 7,6:00 PM,Gallego,August 28,D+23,,,d,d,
Arizona 8,6:00 PM,Franks (Open),August 28,R+13,,,r,r,
Arizona 9,6:00 PM,Sinema (Open),August 28,D+4,,,d,d,
Arkansas 1,5:30 PM,Crawford,,R+17,Desai,Crawford,r,r,
Arkansas 2,5:30 PM,Hill,,R+7,Tucker,Hill,r,r,
Arkansas 3,5:30 PM,Womack,,R+19,Mahoney,Womack,r,r,
Arkansas 4,5:30 PM,Westerman,,R+17,Shamel,Westerman,r,r,
California 1,8:00 PM,LaMalfa,,R+11,Denney,LaMalfa,r,r,
California 2,8:00 PM,Huffman,,D+22,Huffman,Mensing,d,d,
California 3,8:00 PM,Garamendi,,D+5,Garamendi,Schaup,d,d,
California 4,8:00 PM,McClintock,,R+10,Morse,McClintock,r,r,
California 5,8:00 PM,Thompson,,D+21,Thompson,Mills (I),d,d,
California 6,8:00 PM,Matsui,,D+21,Matsui,Jefferson (D),d,d,
California 7,8:00 PM,Bera,,D+3,Bera,Grant,d,d,
California 8,8:00 PM,Cook,,R+9,Cook (R),Donnelly,r,r,
California 9,8:00 PM,McNerney,,D+8,McNerney,Livengood,d,d,
California 10,8:00 PM,Denham,,EVEN,Harder,Denham,d,d,
California 11,8:00 PM,DeSaulnier,,D+21,DeSaulnier,Fitzgerald,d,d,
California 12,8:00 PM,Pelosi,,D+37,Pelosi,Remmer,d,d,
California 13,8:00 PM,Lee,,D+40,Lee,N/A,d,d,
California 14,8:00 PM,Speier,,D+27,Speier,Osmena,d,d,
California 15,8:00 PM,Swalwell,,D+20,Swalwell,Peters,d,d,
California 16,8:00 PM,Costa,,D+9,Costa,Heng,d,d,
California 17,8:00 PM,Khanna,,D+25,Khanna,Cohen,d,d,
